,poor_420,inc_selfemp,inc_salaried,inc_casual,year,level,area,dem,SourceSheet,sector,sector2,state,age_cat1,age_cat2,age_cat3,age_cat4,edu_cat1,edu_cat2,edu_cat3,edu_cat4,edu_cat5,edu_cat6,gender_cat1,gender_cat2,hhsize_cat1,hhsize_cat2,hhsize_cat3,hhsize_cat4,owns_dwelling
100,1,0.871188223,0.087171227,0.041640576,2023,State,urban/rural,All Households,sector_state,NA,99,Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,0,0.691179454,0.229775563,0.039844301,2023,State,urban/rural,All Households,sector_state,NA,99,Nagaland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,1,0.790509343,0.123392634,0.082424708,2023,State,urban/rural,All Households,sector_state,NA,99,Nagaland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,0,0.58570981,0.246946648,0.139359713,2023,State,urban/rural,All Households,sector_state,NA,99,Manipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,1,0.734232545,0.120342307,0.132224217,2023,State,urban/rural,All Households,sector_state,NA,99,Manipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,0,0.550820768,0.344720125,0.076236963,2023,State,urban/rural,All Households,sector_state,NA,99,Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,1,0.663689911,0.067259394,0.2416417,2023,State,urban/rural,All Households,sector_state,NA,99,Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,0,0.510356545,0.158835873,0.25156942,2023,State,urban/rural,All Households,sector_state,NA,99,Tripura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,1,0.53954947,0.081984103,0.352856249,2023,State,urban/rural,All Households,sector_state,NA,99,Tripura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,0,0.557606518,0.143411189,0.28130132,2023,State,urban/rural,All Households,sector_state,NA,99,Meghalaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,1,0.606589556,0.059437089,0.321940362,2023,State,urban/rural,All Households,sector_state,NA,99,Meghalaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,0,0.465004325,0.172776118,0.316771179,2023,State,urban/rural,All Households,sector_state,NA,99,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,1,0.478254557,0.141629413,0.359679759,2023,State,urban/rural,All Households,sector_state,NA,99,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,0,0.397163808,0.145664319,0.386438817,2023,State,urban/rural,All Households,sector_state,NA,99,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,1,0.324757665,0.090062551,0.526530743,2023,State,urban/rural,All Households,sector_state,NA,99,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,0,0.46797809,0.157228574,0.310621887,2023,State,urban/rural,All Households,sector_state,NA,99,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,1,0.526744425,0.102029517,0.324200541,2023,State,urban/rural,All Households,sector_state,NA,99,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,0,0.454892248,0.140828505,0.299150407,2023,State,urban/rural,All Households,sector_state,NA,99,Odisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,1,0.374827415,0.04390718,0.354487717,2023,State,urban/rural,All Households,sector_state,NA,99,Odisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,0,0.563228071,0.119220063,0.274279267,2023,State,urban/rural,All Households,sector_state,NA,99,Chhattisgarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1,0.6126436,0.052244004,0.283119977,2023,State,urban/rural,All Households,sector_state,NA,99,Chhattisgarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,0,0.582879841,0.066832967,0.324826449,2023,State,urban/rural,All Households,sector_state,NA,99,Madhya Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,1,0.518960953,0.027228678,0.435607314,2023,State,urban/rural,All Households,sector_state,NA,99,Madhya Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,0,0.534406364,0.163409948,0.24918969,2023,State,urban/rural,All Households,sector_state,NA,99,Gujarat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,1,0.484066963,0.090664767,0.403095514,2023,State,urban/rural,All Households,sector_state,NA,99,Gujarat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,0,0.286315501,0.578084826,0.052623399,2023,State,urban/rural,All Households,sector_state,NA,99,Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,1,0.194802076,0.455885768,0.333439231,2023,State,urban/rural,All Households,sector_state,NA,99,Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
