,m_poor_1_20_old,m_poor_1_33,m_poor_1_50,m_poor_1_20,Year,level,area,dem,SourceSheet,sector,StateName,multidimensionally_poor_1_33,multidimensionally_poor_1_50,head_age_cat,edu_group,head_gender,hhsize_cat
140,0.289022416,0.118134446,0.01574567,0.17088797,2019,State,All,Age,state,99,Arunachal Pradesh,NA,NA,45 to 64,NA,NA,NA
141,0.412531078,0.187296793,0.027869076,0.225234285,2019,State,All,Age,state,99,Arunachal Pradesh,NA,NA,65+,NA,NA,NA
142,0.402701706,0.201453522,0,0.201248184,2019,State,All,Age,state,99,Arunachal Pradesh,NA,NA,NA,NA,NA,NA
143,0.6238603,0.36269781,0.101763874,0.26116249,2019,State,All,Age,state,99,Assam,NA,NA,15 to 29,NA,NA,NA
144,0.466032147,0.256908894,0.076578692,0.209123253,2019,State,All,Age,state,99,Assam,NA,NA,30 to 45,NA,NA,NA
145,0.381893396,0.170389354,0.036428373,0.211504042,2019,State,All,Age,state,99,Assam,NA,NA,45 to 64,NA,NA,NA
146,0.381229728,0.150378346,0.022533417,0.230851382,2019,State,All,Age,state,99,Assam,NA,NA,65+,NA,NA,NA
147,0.299894124,0,0,0.299894124,2019,State,All,Age,state,99,Assam,NA,NA,NA,NA,NA,NA
148,0.75492239,0.570114613,0.268342555,0.184807777,2019,State,All,Age,state,99,Bihar,NA,NA,15 to 29,NA,NA,NA
149,0.555085659,0.371683598,0.162316889,0.183402061,2019,State,All,Age,state,99,Bihar,NA,NA,30 to 45,NA,NA,NA
150,0.505834758,0.284418225,0.087800317,0.221416533,2019,State,All,Age,state,99,Bihar,NA,NA,45 to 64,NA,NA,NA
151,0.493278712,0.293039948,0.075613342,0.200238764,2019,State,All,Age,state,99,Bihar,NA,NA,65+,NA,NA,NA
152,0.557944655,0.49811089,0.100341573,0.059833765,2019,State,All,Age,state,99,Bihar,NA,NA,NA,NA,NA,NA
153,0.418210059,0.227255046,0.054558486,0.190955013,2019,State,All,Age,state,99,Chandigarh,NA,NA,15 to 29,NA,NA,NA
154,0.160475403,0.056274392,0.007247122,0.104201011,2019,State,All,Age,state,99,Chandigarh,NA,NA,30 to 45,NA,NA,NA
155,0.079043612,0.026266268,0.01838189,0.052777344,2019,State,All,Age,state,99,Chandigarh,NA,NA,45 to 64,NA,NA,NA
156,0.009062464,0,0,0.009062464,2019,State,All,Age,state,99,Chandigarh,NA,NA,65+,NA,NA,NA
157,0.591005862,0.296135038,0.082887672,0.294870824,2019,State,All,Age,state,99,Chhattisgarh,NA,NA,15 to 29,NA,NA,NA
158,0.407899022,0.186406597,0.050377987,0.221492425,2019,State,All,Age,state,99,Chhattisgarh,NA,NA,30 to 45,NA,NA,NA
159,0.407250464,0.155935362,0.02363525,0.251315102,2019,State,All,Age,state,99,Chhattisgarh,NA,NA,45 to 64,NA,NA,NA
160,0.406276226,0.173985347,0.023196392,0.232290879,2019,State,All,Age,state,99,Chhattisgarh,NA,NA,65+,NA,NA,NA
