statename,sector,Year,quint_label,group,dem,real_wage_23,sex_cat,youth_cat,cws_type,emp_type,sex_label,youth_lab,cws_label,emp_label
Andaman and Nicobar Island,All,2017,1,CWSType,CWS Type,8347.03,NA,NA,3,NA,NA,NA,Services,NA
Andaman and Nicobar Island,All,2017,2,CWSType,CWS Type,11722.59,NA,NA,1,NA,NA,NA,Agriculture,NA
Andaman and Nicobar Island,All,2017,2,CWSType,CWS Type,13886.69,NA,NA,2,NA,NA,NA,Industry,NA
Andaman and Nicobar Island,All,2017,2,CWSType,CWS Type,13520.32,NA,NA,3,NA,NA,NA,Services,NA
Andaman and Nicobar Island,All,2017,3,CWSType,CWS Type,13025.1,NA,NA,1,NA,NA,NA,Agriculture,NA
Andaman and Nicobar Island,All,2017,3,CWSType,CWS Type,16224.38,NA,NA,2,NA,NA,NA,Industry,NA
Andaman and Nicobar Island,All,2017,3,CWSType,CWS Type,20758.32,NA,NA,3,NA,NA,NA,Services,NA
Andaman and Nicobar Island,All,2017,4,CWSType,CWS Type,13530.02,NA,NA,1,NA,NA,NA,Agriculture,NA
Andaman and Nicobar Island,All,2017,4,CWSType,CWS Type,19659.93,NA,NA,2,NA,NA,NA,Industry,NA
Andaman and Nicobar Island,All,2017,4,CWSType,CWS Type,52426.48,NA,NA,3,NA,NA,NA,Services,NA
Andaman and Nicobar Island,All,2017,5,CWSType,CWS Type,17551.23,NA,NA,1,NA,NA,NA,Agriculture,NA
Andaman and Nicobar Island,All,2017,5,CWSType,CWS Type,43265.01,NA,NA,2,NA,NA,NA,Industry,NA
Andaman and Nicobar Island,All,2017,5,CWSType,CWS Type,81771.7,NA,NA,3,NA,NA,NA,Services,NA
Andaman and Nicobar Island,All,2018,Total,CWSType,CWS Type,13088.42,NA,NA,1,NA,NA,NA,Agriculture,NA
Andaman and Nicobar Island,All,2018,Total,CWSType,CWS Type,17498.78,NA,NA,2,NA,NA,NA,Industry,NA
Andaman and Nicobar Island,All,2018,Total,CWSType,CWS Type,23784.13,NA,NA,3,NA,NA,NA,Services,NA
Andaman and Nicobar Island,All,2018,1,CWSType,CWS Type,10250.07,NA,NA,1,NA,NA,NA,Agriculture,NA
Andaman and Nicobar Island,All,2018,1,CWSType,CWS Type,10982.22,NA,NA,2,NA,NA,NA,Industry,NA
Andaman and Nicobar Island,All,2018,1,CWSType,CWS Type,10614.89,NA,NA,3,NA,NA,NA,Services,NA
Andaman and Nicobar Island,All,2018,2,CWSType,CWS Type,11520.37,NA,NA,1,NA,NA,NA,Agriculture,NA
Andaman and Nicobar Island,All,2018,2,CWSType,CWS Type,14224.39,NA,NA,2,NA,NA,NA,Industry,NA
Andaman and Nicobar Island,All,2018,2,CWSType,CWS Type,15375.11,NA,NA,3,NA,NA,NA,Services,NA
Andaman and Nicobar Island,All,2018,3,CWSType,CWS Type,13088.42,NA,NA,1,NA,NA,NA,Agriculture,NA
Andaman and Nicobar Island,All,2018,3,CWSType,CWS Type,17915.7,NA,NA,2,NA,NA,NA,Industry,NA
Andaman and Nicobar Island,All,2018,3,CWSType,CWS Type,23857.37,NA,NA,3,NA,NA,NA,Services,NA
Andaman and Nicobar Island,All,2018,4,CWSType,CWS Type,17280.55,NA,NA,1,NA,NA,NA,Agriculture,NA
Andaman and Nicobar Island,All,2018,4,CWSType,CWS Type,35560.98,NA,NA,2,NA,NA,NA,Industry,NA
Andaman and Nicobar Island,All,2018,4,CWSType,CWS Type,48887.25,NA,NA,3,NA,NA,NA,Services,NA
Andaman and Nicobar Island,All,2018,5,CWSType,CWS Type,51250.36,NA,NA,1,NA,NA,NA,Agriculture,NA
Andaman and Nicobar Island,All,2018,5,CWSType,CWS Type,117943.18,NA,NA,2,NA,NA,NA,Industry,NA
Andaman and Nicobar Island,All,2018,5,CWSType,CWS Type,70054.31,NA,NA,3,NA,NA,NA,Services,NA
Andaman and Nicobar Island,All,2019,Total,CWSType,CWS Type,11699.14,NA,NA,1,NA,NA,NA,Agriculture,NA
Andaman and Nicobar Island,All,2019,Total,CWSType,CWS Type,16008.77,NA,NA,2,NA,NA,NA,Industry,NA
Andaman and Nicobar Island,All,2019,Total,CWSType,CWS Type,20265.94,NA,NA,3,NA,NA,NA,Services,NA
,,,,,,,,,,,,,,
Andaman and Nicobar Island,All,2019,1,CWSType,CWS Type,9547.4,NA,NA,1,NA,NA,NA,Agriculture,NA
Andaman and Nicobar Island,All,2019,1,CWSType,CWS Type,9988.4,NA,NA,2,NA,NA,NA,Industry,NA
Andaman and Nicobar Island,All,2019,1,CWSType,CWS Type,8974.91,NA,NA,3,NA,NA,NA,Services,NA
Andaman and Nicobar Island,All,2019,2,CWSType,CWS Type,11381.23,NA,NA,1,NA,NA,NA,Agriculture,NA
Andaman and Nicobar Island,All,2019,2,CWSType,CWS Type,12989.31,NA,NA,2,NA,NA,NA,Industry,NA
Andaman and Nicobar Island,All,2019,2,CWSType,CWS Type,13657.48,NA,NA,3,NA,NA,NA,Services,NA
Andaman and Nicobar Island,All,2019,3,CWSType,CWS Type,12347.86,NA,NA,1,NA,NA,NA,Agriculture,NA
Andaman and Nicobar Island,All,2019,3,CWSType,CWS Type,16817.95,NA,NA,2,NA,NA,NA,Industry,NA
Andaman and Nicobar Island,All,2019,3,CWSType,CWS Type,20265.94,NA,NA,3,NA,NA,NA,Services,NA
