staten,state,unemp_cws,lf_cws,emp_cws,neet,unpaid_emp,salaried,casual,self_emp,agri_cws,ind_cws,services_cws,lfpr_female,unemp_female,type,urban,level,area,year,dem,yr
15,Mizoram,0.023733988,0.54306376,0.530174673,0.014169862,0.088257045,0.254425108,0.059860986,0.685713887,0.391973794,0.112002447,0.496023774,0.418367893,0.026084982,State+AllSectors+All,99,state,All,2023,All,2023
15,Mizoram,0.022023806,0.56381613,0.551398754,0.017958468,0.100567214,0.260107666,0.049192678,0.690699637,0.433096975,0.1095374,0.457365602,0.450692832,0.029857034,State+AllSectors+All,99,state,All,2022,All,2022
15,Mizoram,0.013936922,0.557470083,0.549700677,0.01477182,0.119522698,0.179361552,0.054713558,0.765924871,0.551429033,0.088039801,0.360531151,0.427512169,0.011616596,State+Urban+All,0,state,urban/rural,2023,All,2023
15,Mizoram,0.036038321,0.525992215,0.507036328,0.013425085,0.051207121,0.350860387,0.066473968,0.582665622,0.187119111,0.142787635,0.670093238,0.408180803,0.042966682,State+Urban+All,1,state,urban/rural,2023,All,2023
16,Tripura,0.021598535,0.613060653,0.599819481,0.093270838,0.100040168,0.133573905,0.22566174,0.640764356,0.463012427,0.21865733,0.318330258,0.439804673,0.023413884,State+AllSectors+All,99,state,All,2023,All,2023
16,Tripura,0.036310248,0.481350273,0.463872313,0.074375093,0.033165772,0.315686792,0.142545938,0.54176724,0.104717784,0.221035913,0.674246311,0.283870518,0.058348812,State+Urban+All,1,state,urban/rural,2023,All,2023
16,Tripura,0.019118898,0.642701685,0.630413949,0.096619934,0.11509005,0.103417017,0.239425272,0.657157719,0.522344053,0.218263447,0.2593925,0.476047099,0.01857209,State+Urban+All,0,state,urban/rural,2023,All,2023
16,Tripura,0.016930029,0.546058774,0.536814034,0.098354682,0.048172578,0.180522904,0.241649643,0.577827454,0.363691866,0.224227458,0.412080675,0.343534857,0.012179994,State+AllSectors+All,99,state,All,2022,All,2022
16,Tripura,0.0316789,0.492137581,0.476547182,0.088162124,0.022983726,0.314746529,0.194742471,0.490511,0.078130133,0.238814414,0.68305546,0.262868315,0.046616025,State+Urban+All,1,state,urban/rural,2022,All,2022
16,Tripura,0.014057282,0.557966292,0.550122797,0.100263111,0.053735055,0.154846445,0.250622809,0.594530761,0.418318748,0.221437037,0.360244215,0.361884683,0.006489892,State+Urban+All,0,state,urban/rural,2022,All,2022
17,Meghalaya,0.051480643,0.797764361,0.756694973,0.047216896,0.067784622,0.124307185,0.314640343,0.561052442,0.580526769,0.195630223,0.223842993,0.749868512,0.067580089,State+Urban+All,0,state,urban/rural,2023,All,2023
17,Meghalaya,0.063017771,0.760546148,0.712618232,0.048352018,0.059473295,0.167153746,0.300049722,0.532796502,0.521028996,0.18836455,0.290606469,0.701922655,0.084217466,State+AllSectors+All,99,state,All,2023,All,2023
17,Meghalaya,0.125026003,0.538380742,0.471069157,0.06596496,0.011005539,0.543605328,0.181332022,0.27506265,0.032899741,0.164947182,0.802153051,0.400338858,0.185770676,State+Urban+All,1,state,urban/rural,2022,All,2022
17,Meghalaya,0.061920065,0.698047578,0.654824436,0.057463672,0.090555146,0.178365931,0.325368553,0.496265531,0.471319258,0.213340431,0.31534031,0.605546296,0.085126221,State+AllSectors+All,99,state,All,2022,All,2022
17,Meghalaya,0.140930682,0.578335702,0.496830463,0.056264393,0.018783316,0.487743586,0.190878689,0.321377724,0.077389009,0.134188652,0.788422346,0.476793766,0.207079917,State+Urban+All,1,state,urban/rural,2023,All,2023
17,Meghalaya,0.051572096,0.733729303,0.695889354,0.056209721,0.108332589,0.123113245,0.347158104,0.529728651,0.537642479,0.220661268,0.241696253,0.655707181,0.070105873,State+Urban+All,0,state,urban/rural,2022,All,2022
18,Assam,0.040670153,0.571340621,0.548104107,0.080548286,0.059439227,0.201180741,0.198353797,0.600465477,0.44558832,0.209683567,0.344728112,0.322012842,0.058577336,State+AllSectors+All,99,state,All,2022,All,2022
18,Assam,0.076427639,0.542045176,0.500617921,0.09085498,0.027767159,0.439858466,0.10147097,0.458670557,0.051980101,0.222881511,0.725138366,0.288537234,0.126593933,State+Urban+All,1,state,urban/rural,2023,All,2023
18,Assam,0.052078713,0.637745678,0.604532659,0.085772686,0.065198563,0.200136364,0.203171417,0.596692204,0.450540304,0.231100574,0.318359137,0.445786595,0.069329403,State+AllSectors+All,99,state,All,2023,All,2023
18,Assam,0.049303375,0.650843263,0.618754506,0.085280977,0.070321433,0.173596814,0.21443063,0.61197257,0.494672865,0.232010677,0.273316443,0.467557341,0.064436831,State+Urban+All,0,state,urban/rural,2023,All,2023
18,Assam,0.067140646,0.514064312,0.479549736,0.082090519,0.031429674,0.40544036,0.112318195,0.482241452,0.035196558,0.243082002,0.721721411,0.274250656,0.144592732,State+Urban+All,1,state,urban/rural,2022,All,2022
18,Assam,0.037778243,0.578381002,0.556530774,0.080420382,0.062882133,0.17955412,0.207463086,0.61298281,0.489055574,0.206146121,0.304798305,0.327950865,0.049634524,State+Urban+All,0,state,urban/rural,2022,All,2022
19,West Bengal,0.026491741,0.569718122,0.554625273,0.111493103,0.064872704,0.140525922,0.270688027,0.588786066,0.434036434,0.311830372,0.254133224,0.322038084,0.022166573,State+Urban+All,0,state,urban/rural,2022,All,2022
19,West Bengal,0.051874071,0.534177065,0.506467104,0.100877367,0.028262822,0.400851399,0.135371476,0.463777125,0.041872643,0.328877151,0.629250169,0.292888612,0.067361996,State+Urban+All,1,state,urban/rural,2023,All,2023
19,West Bengal,0.037185937,0.581579447,0.559952855,0.105030924,0.056685578,0.214103937,0.221710399,0.564185679,0.367654145,0.283612937,0.348732919,0.354918063,0.039255712,State+AllSectors+All,99,state,All,2023,All,2023
19,West Bengal,0.031454798,0.602438867,0.583489299,0.10641557,0.06919302,0.142756164,0.254696608,0.602547228,0.492090404,0.266323686,0.241585895,0.382307947,0.029747806,State+Urban+All,0,state,urban/rural,2023,All,2023
19,West Bengal,0.047480609,0.512181461,0.487862796,0.107518494,0.026676388,0.438654006,0.115649104,0.44569689,0.032460101,0.324444175,0.643095732,0.259604931,0.04844334,State+Urban+All,1,state,urban/rural,2022,All,2022
19,West Bengal,0.032339629,0.552427649,0.534562349,0.110532835,0.053394262,0.222356573,0.228132695,0.549510717,0.323900491,0.315289825,0.360809684,0.303273469,0.028927013,State+AllSectors+All,99,state,All,2022,All,2022
20,Jharkhand,0.013106771,0.568713069,0.561259091,0.090700097,0.141862392,0.103863299,0.227821723,0.668314993,0.498242974,0.304742068,0.197014973,0.377378017,0.000734502,State+Urban+All,0,state,urban/rural,2023,All,2023
20,Jharkhand,0.023165988,0.540643215,0.52811873,0.091170758,0.11965619,0.152934477,0.212597534,0.634468019,0.433340847,0.311946929,0.254712224,0.3382999,0.00757798,State+AllSectors+All,99,state,All,2023,All,2023
20,Jharkhand,0.023347184,0.535963118,0.523449898,0.095394336,0.124263972,0.102301948,0.213633701,0.684064329,0.45765999,0.318725795,0.223614231,0.321698159,0.002751839,State+Urban+All,0,state,urban/rural,2022,All,2022
20,Jharkhand,0.075249009,0.430602163,0.398199797,0.093601651,0.032602087,0.425114244,0.128154561,0.44673121,0.074719347,0.351757973,0.573522687,0.178260371,0.066910453,State+Urban+All,1,state,urban/rural,2023,All,2023
20,Jharkhand,0.082283437,0.416669488,0.382384479,0.118014887,0.028851833,0.396204323,0.151392147,0.452403545,0.04441024,0.374721766,0.580868006,0.137793958,0.082083181,State+Urban+All,1,state,urban/rural,2022,All,2022
