,m_poor_1_33,m_poor_1_50,Year,round,level,area,dem,SourceSheet,sector,state,head_age_cat,edu_group,head_gender,hhsize_cat,own_house,agri_land
139,0.128937423,0.035351031,2019,5,State,All,Age,state,99,Arunachal Pradesh,30 to 45,NA,NA,NA,NA,NA
140,0.118134446,0.01574567,2019,5,State,All,Age,state,99,Arunachal Pradesh,46 to 64,NA,NA,NA,NA,NA
141,0.187296793,0.027869076,2019,5,State,All,Age,state,99,Arunachal Pradesh,65+,NA,NA,NA,NA,NA
142,0.201453522,0,2019,5,State,All,Age,state,99,Arunachal Pradesh,NA,NA,NA,NA,NA,NA
143,0.36269781,0.101763874,2019,5,State,All,Age,state,99,Assam,15 to 29,NA,NA,NA,NA,NA
144,0.256908894,0.076578692,2019,5,State,All,Age,state,99,Assam,30 to 45,NA,NA,NA,NA,NA
145,0.170389354,0.036428373,2019,5,State,All,Age,state,99,Assam,46 to 64,NA,NA,NA,NA,NA
146,0.150378346,0.022533417,2019,5,State,All,Age,state,99,Assam,65+,NA,NA,NA,NA,NA
147,0,0,2019,5,State,All,Age,state,99,Assam,NA,NA,NA,NA,NA,NA
148,0.570114613,0.268342555,2019,5,State,All,Age,state,99,Bihar,15 to 29,NA,NA,NA,NA,NA
149,0.371683598,0.162316889,2019,5,State,All,Age,state,99,Bihar,30 to 45,NA,NA,NA,NA,NA
150,0.284418225,0.087800317,2019,5,State,All,Age,state,99,Bihar,46 to 64,NA,NA,NA,NA,NA
151,0.293039948,0.075613342,2019,5,State,All,Age,state,99,Bihar,65+,NA,NA,NA,NA,NA
152,0.49811089,0.100341573,2019,5,State,All,Age,state,99,Bihar,NA,NA,NA,NA,NA,NA
153,0.227255046,0.054558486,2019,5,State,All,Age,state,99,Chandigarh,15 to 29,NA,NA,NA,NA,NA
154,0.056274392,0.007247122,2019,5,State,All,Age,state,99,Chandigarh,30 to 45,NA,NA,NA,NA,NA
155,0.026266268,0.01838189,2019,5,State,All,Age,state,99,Chandigarh,46 to 64,NA,NA,NA,NA,NA
156,0,0,2019,5,State,All,Age,state,99,Chandigarh,65+,NA,NA,NA,NA,NA
157,0.296135038,0.082887672,2019,5,State,All,Age,state,99,Chhattisgarh,15 to 29,NA,NA,NA,NA,NA
158,0.186406597,0.050377987,2019,5,State,All,Age,state,99,Chhattisgarh,30 to 45,NA,NA,NA,NA,NA
