group,year,sector,state,state_sec_quint,state_quint,sec_quint,nat_quint,Quintile_Overall,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,other_items2,books,stationary,schoolbag,clothing,footwear,type,level
sector_state,2011,urban,Goa,,,,,99,0.75,0.53,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Goa,1,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Goa,2,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Goa,3,,,,3,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Goa,4,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Goa,5,,,,5,1,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Goa,,,,,99,0.52,0.31,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Goa,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Goa,2,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Goa,3,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Goa,4,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Goa,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Goa,,,,,99,0.64,0.43,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Goa,,1,,,1,1,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Goa,,2,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Goa,,3,,,3,1,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Goa,,4,,,4,1,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Goa,,5,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Gujarat,,,,,99,0.38,0.68,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Gujarat,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Gujarat,2,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Gujarat,3,,,,3,0,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Gujarat,4,,,,4,0,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Gujarat,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Gujarat,,,,,99,0.08,0.13,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Gujarat,1,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Gujarat,2,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Gujarat,3,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Gujarat,4,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Gujarat,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Gujarat,,,,,99,0.26,0.46,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Gujarat,,1,,,1,0,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Gujarat,,2,,,2,0,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Gujarat,,3,,,3,0,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Gujarat,,4,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Gujarat,,5,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
