group,year,sector,state,state_sec_quint,state_quint,sec_quint,nat_quint,Quintile_Overall,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,other_items2,books,stationary,schoolbag,clothing,footwear,type,level
sector_state,2011,urban,Haryana,,,,,99,0.2,0.18,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Haryana,1,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Haryana,2,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Haryana,3,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Haryana,4,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Haryana,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Haryana,,,,,99,0.11,0.05,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Haryana,1,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Haryana,2,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Haryana,3,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Haryana,4,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Haryana,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Haryana,,,,,99,0.18,0.14,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Haryana,,1,,,1,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Haryana,,2,,,2,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Haryana,,3,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Haryana,,4,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Haryana,,5,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Himachal Pradesh,,,,,99,0.94,0.33,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Himachal Pradesh,1,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Himachal Pradesh,2,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Himachal Pradesh,3,,,,3,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Himachal Pradesh,4,,,,4,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Himachal Pradesh,5,,,,5,1,0,,,,,,,,,,,,,,,,,,,,,
