poor_420,sector,sectorname,state,year,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,other_items2,books,stationary,schoolbag,clothing,footwear
0,2,FALSE,Telangana,2011,0.40657812,0.243573368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,FALSE,Telangana,2011,0.68214613,0.512858728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,99,All,Telangana,2011,0.65238327,0.498619364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,99,All,Telangana,2011,0.87779218,0.793473468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Rural,Tripura,2022,0.975,0.521,0.616,0.39,0,0.08,0.009,0.052,0.405,0.036,0.004,0,0,0,0.004,0.001,0.389,0.017,0.036,0.001,0
1,0,Rural,Tripura,2022,0.938,0.781,0.67,0.538,0,0.031,0.007,0.018,0.456,0.044,0,0,0,0,0,0,0.538,0,0.009,0,0
0,1,Urban,Tripura,2022,0.936,0.275,0.434,0.268,0,0.112,0.009,0.036,0.306,0.023,0.005,0,0,0,0.004,0.001,0.268,0.004,0.02,0,0
1,1,Urban,Tripura,2022,0.877,0.644,0.712,0.171,0,0,0,0,0.488,0.035,0,0,0,0,0,0,0.171,0,0,0,0
0,99,All,Tripura,2022,0.967,0.468,0.576,0.364,0,0.087,0.009,0.049,0.383,0.033,0.004,0,0,0,0.004,0.001,0.363,0.014,0.033,0.001,0
1,99,All,Tripura,2022,0.935,0.773,0.672,0.517,0,0.029,0.006,0.017,0.458,0.043,0,0,0,0,0,0,0.517,0,0.009,0,0
0,1,Urban,Tripura,2011,0.96841484,0.971776578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Urban,Tripura,2011,0.96830118,0.971581239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,2,FALSE,Tripura,2011,0.82887036,0.663339638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,FALSE,Tripura,2011,0.90215427,0.889561362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
