"","poor_420","inc_selfemp","inc_salaried","inc_casual","year","level","area","dem","SourceSheet","sector2","state","age_cat1","age_cat2","age_cat3","age_cat4","edu_cat1","edu_cat2","edu_cat3","edu_cat4","edu_cat5","edu_cat6","gender_cat1","gender_cat2","hhsize_cat1","hhsize_cat2","hhsize_cat3","hhsize_cat4","owns_dwelling","owns_land","inc_selfemp_agri","inc_selfemp_nonagri","inc_casual_agri","inc_casual_nonagri","inc_selfemp_urban","inc_casual_urban","inc_others"
"84",0,0.329577088356018,0.455998867750168,0.187327027320862,2022,"State","urban/rural","All Households","sector_state",0,"Chandigarh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",0,0.468556523323059,0.233819857239723,0.220020905137062,2022,"State","urban/rural","All Households","sector_state",0,"Uttrakhand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",1,0.446115165948868,0.0928588062524796,0.403349876403809,2022,"State","urban/rural","All Households","sector_state",0,"Uttrakhand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",0,0.4544378221035,0.203600496053696,0.302214652299881,2022,"State","urban/rural","All Households","sector_state",0,"Haryana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",1,0.29322013258934,0.103575266897678,0.569414258003235,2022,"State","urban/rural","All Households","sector_state",0,"Haryana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",0,0.354535043239594,0.523429751396179,0.0901589319109917,2022,"State","urban/rural","All Households","sector_state",0,"Delhi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",1,0.384102195501328,0.346521317958832,0.227479189634323,2022,"State","urban/rural","All Households","sector_state",0,"Delhi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",0,0.627067387104034,0.126973778009415,0.199625968933105,2022,"State","urban/rural","All Households","sector_state",0,"Rajasthan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",1,0.542298674583435,0.0740761458873749,0.361969143152237,2022,"State","urban/rural","All Households","sector_state",0,"Rajasthan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",0,0.569643437862396,0.108786702156067,0.257739096879959,2022,"State","urban/rural","All Households","sector_state",0,"Uttar Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",1,0.474342465400696,0.0693539902567863,0.39142307639122,2022,"State","urban/rural","All Households","sector_state",0,"Uttar Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",0,0.413656920194626,0.209160938858986,0.346753865480423,2022,"State","urban/rural","All Households","sector_state",0,"Bihar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
