,inc_selfemp,inc_salaried,inc_casual,year,level,area,SourceSheet,sector2,state,hhsize_cat1,hhsize_cat2,hhsize_cat3,hhsize_cat4,edu_cat1,edu_cat2,edu_cat3,edu_cat4,edu_cat5,edu_cat6,gender_cat1,gender_cat2,age_cat1,age_cat2,age_cat3,age_cat4,owns_land
3076,0.414456874,0.387851864,0.151623547,2011,state,urban/rural,sector_state,1,Jammu & Kashmir,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3077,0.330718189,0.433279514,0.082295462,2011,state,urban/rural,sector_state,1,Jammu & Kashmir,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3078,0.080046996,0.281456798,0.084448583,2011,state,urban/rural,sector_state,1,Jammu & Kashmir,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3079,0.470177174,0.338993967,0.122841738,2011,state,urban/rural,sector_state,1,Himachal Pradesh,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3080,0.213721514,0.556197822,0.134139374,2011,state,urban/rural,sector_state,1,Himachal Pradesh,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3081,0.218080148,0.475595534,0.069128022,2011,state,urban/rural,sector_state,1,Himachal Pradesh,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3082,0.024192791,0.654438019,0.062631816,2011,state,urban/rural,sector_state,1,Himachal Pradesh,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3083,0.617139459,0.296180278,0.086680248,2011,state,urban/rural,sector_state,1,Punjab,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3084,0.462185264,0.405447483,0.099633522,2011,state,urban/rural,sector_state,1,Punjab,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3085,0.288274527,0.401396155,0.104621939,2011,state,urban/rural,sector_state,1,Punjab,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3086,0.09385813,0.516846657,0.141722709,2011,state,urban/rural,sector_state,1,Punjab,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3087,0.547209322,0.398376912,0.054413792,2011,state,urban/rural,sector_state,1,Chandigarh,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3088,0.242627606,0.662891448,0.085485443,2011,state,urban/rural,sector_state,1,Chandigarh,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3089,0.119991973,0.70952493,0.101430044,2011,state,urban/rural,sector_state,1,Chandigarh,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3090,0.25583297,0.53920424,0.098544843,2011,state,urban/rural,sector_state,1,Chandigarh,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3091,0.499035984,0.421267718,0.020220969,2011,state,urban/rural,sector_state,1,Uttrakhand,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3092,0.545865536,0.302905321,0.111515157,2011,state,urban/rural,sector_state,1,Uttrakhand,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3093,0.325368106,0.431767076,0.025649559,2011,state,urban/rural,sector_state,1,Uttrakhand,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3094,0.135016605,0.453559905,0.010060843,2011,state,urban/rural,sector_state,1,Uttrakhand,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3095,0.399958581,0.406541944,0.146720484,2011,state,urban/rural,sector_state,1,Haryana,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3096,0.461622745,0.373351842,0.111251079,2011,state,urban/rural,sector_state,1,Haryana,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3097,0.333534867,0.473499477,0.067091063,2011,state,urban/rural,sector_state,1,Haryana,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3098,0.032349207,0.569255114,0.136622742,2011,state,urban/rural,sector_state,1,Haryana,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3099,0.46109885,0.491394907,0.047506262,2011,state,urban/rural,sector_state,1,Delhi,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3100,0.463630587,0.492396563,0.026641566,2011,state,urban/rural,sector_state,1,Delhi,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3101,0.33280468,0.533227265,0.030486571,2011,state,urban/rural,sector_state,1,Delhi,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3102,0.037900683,0.734982073,0.076902606,2011,state,urban/rural,sector_state,1,Delhi,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3103,0.493259668,0.297638237,0.178611904,2011,state,urban/rural,sector_state,1,Rajasthan,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3104,0.481497228,0.350261569,0.134170413,2011,state,urban/rural,sector_state,1,Rajasthan,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3105,0.280914664,0.37890318,0.127376914,2011,state,urban/rural,sector_state,1,Rajasthan,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3106,0.079463981,0.218912601,0.02339505,2011,state,urban/rural,sector_state,1,Rajasthan,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3107,0.629686773,0.18106018,0.164126664,2011,state,urban/rural,sector_state,1,Uttar Pradesh,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3108,0.491536945,0.341910005,0.117945686,2011,state,urban/rural,sector_state,1,Uttar Pradesh,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3109,0.345175982,0.363589942,0.151131883,2011,state,urban/rural,sector_state,1,Uttar Pradesh,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3110,0.09319707,0.325779915,0.057020266,2011,state,urban/rural,sector_state,1,Uttar Pradesh,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3111,0.478597701,0.262198061,0.110458374,2011,state,urban/rural,sector_state,1,Bihar,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3112,0.515222847,0.21777904,0.141520485,2011,state,urban/rural,sector_state,1,Bihar,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3113,0.355646789,0.278608501,0.159945756,2011,state,urban/rural,sector_state,1,Bihar,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3114,0.034501571,0.23489444,0.002346112,2011,state,urban/rural,sector_state,1,Bihar,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3115,0.250335515,0.749664485,0,2011,state,urban/rural,sector_state,1,Sikkim,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3116,0.279747337,0.661427498,0.041304726,2011,state,urban/rural,sector_state,1,Sikkim,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3117,0.395102382,0.390289962,0.07898543,2011,state,urban/rural,sector_state,1,Sikkim,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3118,0.186890408,0.260704249,0.018408867,2011,state,urban/rural,sector_state,1,Sikkim,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3119,0.140808016,0.631412208,0.134482443,2011,state,urban/rural,sector_state,1,Arunachal Pradesh,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3120,0.263039082,0.626461267,0.062903114,2011,state,urban/rural,sector_state,1,Arunachal Pradesh,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3121,0.21861504,0.54571414,0.155928895,2011,state,urban/rural,sector_state,1,Arunachal Pradesh,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3122,0.207889766,0.375616819,0.070562012,2011,state,urban/rural,sector_state,1,Arunachal Pradesh,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3123,0.3977727,0.397591799,0.019942539,2011,state,urban/rural,sector_state,1,Nagaland,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3124,0.395338923,0.504971087,0.010869589,2011,state,urban/rural,sector_state,1,Nagaland,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3125,0.300227672,0.46375829,0,2011,state,urban/rural,sector_state,1,Nagaland,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3126,0,0.807514608,0,2011,state,urban/rural,sector_state,1,Nagaland,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3127,0.471808195,0.318031877,0.018065453,2011,state,urban/rural,sector_state,1,Manipur,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
